,hgr_id,searched_name,fuzzy,gname_name,gname_adminCode1,gname_adminName1,gname_countryCode,gname_countryId,gname_countryName,gname_fcl,gname_fclName,gname_fcode,gname_fcodeName,gname_geonameId,gname_lat,gname_lng,gname_population,gname_toponymName,north_bound,south_bound,east_bound,west_bound,url
991,167,Городище,1.0,Gorodishche,18,Poltava,UA,690791,Ukraine,P,"city, village,...",PPL,populated place,708353.0,50.17122,33.05362,0.0,Horodyshche,51.49413,49.08008,34.35625,29.72503,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=34.35625&name=%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5&south=49.08008&north=51.49413&west=29.72503&fuzzy=1
992,167,Городище,1.0,Horodyshche,21,Sumy,UA,690791,Ukraine,P,"city, village,...",PPL,populated place,708346.0,50.92939,34.01625,0.0,Horodyshche,51.49413,49.08008,34.35625,29.72503,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=34.35625&name=%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5&south=49.08008&north=51.49413&west=29.72503&fuzzy=1
993,167,Городище,1.0,Horodyshche,13,Kiev,UA,690791,Ukraine,P,"city, village,...",PPL,populated place,8526754.0,50.26779,31.00104,0.0,Horodyshche,51.49413,49.08008,34.35625,29.72503,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=34.35625&name=%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5&south=49.08008&north=51.49413&west=29.72503&fuzzy=1
994,167,Городище,1.0,Horodyshche,01,Cherkasy,UA,690791,Ukraine,P,"city, village,...",PPLA2,seat of a second-order administrative division,708366.0,49.28489,31.44513,15063.0,Horodyshche,51.49413,49.08008,34.35625,29.72503,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=34.35625&name=%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5&south=49.08008&north=51.49413&west=29.72503&fuzzy=1
995,167,Городище,1.0,Horodyshche,13,Kiev,UA,690791,Ukraine,P,"city, village,...",PPLQ,abandoned populated place,708344.0,51.14015,30.39121,0.0,Horodyshche,51.49413,49.08008,34.35625,29.72503,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=34.35625&name=%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5&south=49.08008&north=51.49413&west=29.72503&fuzzy=1
996,631,Симеоновка,1.0,,,,,,,,,,,,,,,,55.983333,47.983333,29.266666999999998,37.266667,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=29.266666999999998&name=%D0%A1%D0%B8%D0%BC%D0%B5%D0%BE%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0&south=47.983333&north=55.983333&west=37.266667&fuzzy=1
997,631,Симеоновка,0.9,,,,,,,,,,,,,,,,55.983333,47.983333,29.266666999999998,37.266667,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=29.266666999999998&name=%D0%A1%D0%B8%D0%BC%D0%B5%D0%BE%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0&south=47.983333&north=55.983333&west=37.266667&fuzzy=0.9
998,322,Константиновское,1.0,,,,,,,,,,,,,,,,60.857828,52.857828,31.921928,39.921928,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=31.921928&name=%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B5&south=52.857828&north=60.857828&west=39.921928&fuzzy=1
999,322,Константиновское,0.9,Konstantinovskoye,37,Kostroma,RU,2017370,Russia,P,"city, village,...",PPL,populated place,545266.0,58.21054,41.98483,0.0,Konstantinovskoye,60.857828,52.857828,31.921928,39.921928,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=31.921928&name=%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B5&south=52.857828&north=60.857828&west=39.921928&fuzzy=0.9
1000,322,Константиновское,0.9,Konstantinovka,29,Kemerovo,RU,2017370,Russia,P,"city, village,...",PPL,populated place,1502629.0,56.13204,88.07231,0.0,Konstantinovka,60.857828,52.857828,31.921928,39.921928,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=31.921928&name=%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B5&south=52.857828&north=60.857828&west=39.921928&fuzzy=0.9
1001,277,Карм,1.0,,,,,,,,,,,,,,,,55.194,51.9042,32.863,29.5408,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=32.863&name=%D0%9A%D0%B0%D1%80%D0%BC&south=51.9042&north=55.194&west=29.5408&fuzzy=1
1002,277,Карм,0.9,,,,,,,,,,,,,,,,55.194,51.9042,32.863,29.5408,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=32.863&name=%D0%9A%D0%B0%D1%80%D0%BC&south=51.9042&north=55.194&west=29.5408&fuzzy=0.9
1003,715,Ункосова,1.0,,,,,,,,,,,,,,,,56.716667,48.716667,37.433333,45.433333,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=37.433333&name=%D0%A3%D0%BD%D0%BA%D0%BE%D1%81%D0%BE%D0%B2%D0%B0&south=48.716667&north=56.716667&west=45.433333&fuzzy=1
1004,715,Ункосова,0.9,,,,,,,,,,,,,,,,56.716667,48.716667,37.433333,45.433333,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=37.433333&name=%D0%A3%D0%BD%D0%BA%D0%BE%D1%81%D0%BE%D0%B2%D0%B0&south=48.716667&north=56.716667&west=45.433333&fuzzy=0.9
