uniq_id,ru_old_orth,partof_id,x_coord,y_coord,lc_trans,ru_new_orth,ru_uezd,ru_prov,beg_yr,end_yr,lc_featuretype,ru_featuretype,id_featuretype,en_featuretype,SOURCE,description,xy_type,Unnamed: 18,Unnamed: 19,pres_loc,pres_country,country_code,notes,partof_name
89,Ливенскомъ,21.0,,,,Ливенском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Орловск
90,Лубенскомъ,13.0,,,,Лубенском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Кіевск
91,Любимскомъ,39.0,40.684329999999996,58.3625,,Любимском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Ярославск
92,Мезенскомъ,2.0,44.2542,65.8401,,Мезенском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match",Архангельскъ
93,Миргородскомъ,13.0,33.60886,49.968540000000004,,Миргородском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Кіевск
94,Мирополья,37.0,35.26233,51.023,,Мирополья,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match",Харьковск
95,Можайскомъ,1.0,36.02722,55.501940000000005,,Можайском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Московской
96,Мстиславскомъ,16.0,,,,Мстиславском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Могилевск
97,Наровчатовскомъ,22.0,,,,Наровчатовском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Пензенск
98,Нижеломовскомъ,22.0,,,,Нижеломовском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Пензенск
99,Новгородскомъ,,31.271040000000003,58.52131,,Новгородском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match",
100,Новогородскаго,18.0,31.271040000000003,58.52131,,Новогородского,,,17--,17--,,уезде,,,,,POINT,,,,,,Archaic form of Novgorod,Новогородск
101,Новогородскаго - Сѣверскаго,19.0,33.266667,51.983333,,Новогородского - Северского,,,17--,17--,,уезде,,,,,POINT,,,"Novhorod-Sivers'kyi, Chernihivs'ka oblast",Ukraine,UA,,Новогород - Сѣверск
102,Новосиля,35.0,37.04048,52.97387,,Новосиля,,,17--,17--,,уезде,,,,,POINT,,,,,,,Тульск
103,Нѣжинскомъ,38.0,31.886879999999998,51.04801,,Нежинском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match",Черниговск
104,Нѣжинскомъ,19.0,31.886879999999998,51.04801,,Нежинском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Possibly incorrect, 1792 map shows no Nizhyn in Novgorod-Severskoi Namiestnichestva",Новогород - Сѣверск
105,Оршанскомъ,16.0,,,,Оршанском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Могилевск
106,Острова,25.0,28.353679999999997,57.34395,,Острова,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match",Псковск
107,Переяславскомъ,13.0,31.4795,50.08768,,Переяславском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Кіевск
108,Петровскомъ,39.0,39.26928,57.01039,,Петровском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match",Ярославск
109,Пирятинскомъ,38.0,32.506209999999996,50.24242,,Пирятинском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Черниговск
110,Полотавскомъ,8.0,,,,Полотавском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Екатеринославск
111,Полотска,24.0,28.7856,55.4879,,Полотска,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match",Полотск
112,Полтавскомъ,8.0,,,,Полтавском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Екатеринославск
113,Пошехонскомъ,39.0,39.13531,58.499280000000006,,Пошехонском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Ярославск
114,Прилуцкомъ,38.0,,,,Прилуцком,,,17--,17--,,уезде,,,,,POINT,,,,,,,Черниговск
115,Псковскаго,25.0,28.3496,57.8136,,Псковского,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match",Псковск
116,Рогачева,16.0,30.0495,53.0934,,Рогачева,,,17--,17--,,уезде,,,,,POINT,,,,,,,Могилевск
117,Ростовскомъ,39.0,39.413940000000004,57.1914,,Ростовском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Ярославск
118,Рузскомъ,1.0,36.19522,55.698980000000006,,Рузском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Московской
119,Рязанскаго,28.0,44.7329,53.1783,,Рязанского,,,17--,17--,,уезде,,,,,POINT,,,,,,,Рязанск
120,Саранскомъ,22.0,45.1749,54.1838,,Саранском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Пензенск
121,Саратовскомъ,29.0,46.00861,51.54056,,Саратовском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Саратовск
122,Свіажскомъ,11.0,,,,Свиажском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Казанск
123,Синбирскаго,30.0,48.38657,54.32824,,Синбирского,,,17--,17--,,уезде,,,,,POINT,,,,,,,Синбирск
124,Сосницкомъ,19.0,,,,Сосницком,,,17--,17--,,уезде,,,,,POINT,,,,,,,Новогород - Сѣверск
125,Старобыховскомъ,16.0,,,,Старобыховском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Могилевск
126,Стародубовскомъ,19.0,33.67942,52.2405,,Стародубовском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Новогород - Сѣверск
127,Суздальскомъ,3.0,40.44668,56.422740000000005,,Суздальском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Владимерск
128,Тверскаго,33.0,35.90057,56.85836,,Тверского,,,17--,17--,,уезде,,,,,POINT,,,,,,,Тверск
129,Темниковскомъ,32.0,43.21483,54.630230000000005,,Темниковском,,,17--,17--,,уезде,,,,,POINT,,,"Temnikov, Mordoviya",Russia,RU,,Тамбовск
130,Тульскаго,35.0,,,,Тульского Же,,,17--,17--,,уезде,,,,,POINT,,,,,,,Тульск
131,Харьковскаго,37.0,36.252720000000004,49.98081,,Харьковского,,,17--,17--,,уезде,,,,,POINT,,,,,,,Харьковск
132,Челябинскомъ,36.0,,,,Челябинском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Уфимск
133,Чериковскомъ,16.0,31.3831,53.5689,,Чериковском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Могилевск
134,Черниговскаго,38.0,31.284879999999998,51.50551,,Черниговского,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match",Черниговск
135,Чухломскомъ,14.0,,,,Чухломском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Кострома
136,Шатскомъ,32.0,41.711909999999996,54.02576,,Шатском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match",Тамбовск
137,Юрьевца,14.0,,,,Юрьевца,,,17--,17--,,уезде,,,,,POINT,,,,,,,Кострома
138,Яренскомъ,4.0,49.09162,62.16755,,Яренском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Вологодск
139,Ярославскаго,39.0,39.87368,57.62987,,Ярославского,,,17--,17--,,уезде,,,,,POINT,,,,,,"Manual lookup of large, well-known city",Ярославск
140,ВОЛЬНАЯ,,35.379166999999995,50.423333,,,,,,,,,,,,,,,,,,,"ВОЛЬНАЯ could be Вільне in modern Ukranian, conferred with Brockhaus map of Khark. Gub., saw reference to being across from Ямне, followed references in wikipedia which include lat/long. Ultimately not able to determine with certainty that this is the same town.",
