,0,1,2,3,4,5,6,7,8,9
39,1,not_found,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?north=90&west=-180&type=json&featureClass=P&name=%D0%B5%D0%BB%D0%B5%D1%86%D0%BA&east=180&south=-90&username=jaguillette,geonames
40,1,not_found,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?north=90&west=-180&type=json&featureClass=P&name=%D0%B5%D0%BF%D0%B8%D1%84%D0%B0%D0%BD%D1%81%D0%BA&east=180&south=-90&username=jaguillette,geonames
41,1,Zaraysk,Moskovskaya,Russia,54.7605,38.87841,464687,RU,http://api.geonames.org/search?north=90&west=-180&type=json&featureClass=P&name=%D0%B7%D0%B0%D1%80%D0%B0%D0%B9%D1%81%D0%BA&east=180&south=-90&username=jaguillette,geonames
42,1,not_found,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?north=90&west=-180&type=json&featureClass=P&name=%D0%B7%D0%B2%D0%B5%D0%BD%D0%B8%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA&east=180&south=-90&username=jaguillette,geonames
43,1,Zubtsov,Tverskaya,Russia,56.17534,34.58935,462008,RU,http://api.geonames.org/search?north=90&west=-180&type=json&featureClass=P&name=%D0%B7%D1%83%D0%B1%D1%86%D0%BE%D0%B2&east=180&south=-90&username=jaguillette,geonames
44,1,Izyum,Kharkiv,Ukraine,49.20875,37.24848,707292,UA,http://api.geonames.org/search?north=90&west=-180&type=json&featureClass=P&name=%D0%B8%D0%B7%D1%8E%D0%BC&east=180&south=-90&username=jaguillette,geonames
45,1,not_found,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?north=90&west=-180&type=json&featureClass=P&name=%D0%B8%D0%B7%D1%8E%D0%BC%D0%BE%D0%B2%D1%81%D0%BA&east=180&south=-90&username=jaguillette,geonames
46,1,not_found,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?north=90&west=-180&type=json&featureClass=P&name=%D0%B8%D0%B7%D1%8E%D0%BC%D1%81%D0%BA&east=180&south=-90&username=jaguillette,geonames
47,1,not_found,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?north=90&west=-180&type=json&featureClass=P&name=%D0%BA%D0%B0%D1%81%D0%B8%D0%BC%D0%BE%D0%B2%D1%81%D0%BA&east=180&south=-90&username=jaguillette,geonames
48,1,not_found,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?north=90&west=-180&type=json&featureClass=P&name=%D0%BA%D0%B0%D1%88%D0%B8%D0%BD%D1%81%D0%BA&east=180&south=-90&username=jaguillette,geonames
49,1,Kamin’-Kashyrs’kyy,Volyn,Ukraine,51.62412,24.95864,707025,UA,http://api.geonames.org/search?north=90&west=-180&type=json&featureClass=P&name=%D0%BA%D0%B0%D1%88%D0%B8%D1%80%D1%81%D0%BA&east=180&south=-90&username=jaguillette,geonames
50,1,Vadinsk,Penza,Russia,53.69157,43.05744,477418,RU,http://api.geonames.org/search?north=90&west=-180&type=json&featureClass=P&name=%D0%BA%D0%B5%D1%80%D0%B5%D0%BD%D1%81%D0%BA&east=180&south=-90&username=jaguillette,geonames
51,1,not_found,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?north=90&west=-180&type=json&featureClass=P&name=%D0%BA%D0%B8%D0%BD%D0%B5%D1%88%D0%BC&east=180&south=-90&username=jaguillette,geonames
52,1,Kirensk,Irkutsk,Russia,57.78528,108.11194,2022083,RU,http://api.geonames.org/search?north=90&west=-180&type=json&featureClass=P&name=%D0%BA%D0%B8%D1%80%D0%B5%D0%BD%D1%81%D0%BA&east=180&south=-90&username=jaguillette,geonames
53,1,Kraskino,Primorskiy,Russia,42.71071,130.78126,2021644,RU,http://api.geonames.org/search?north=90&west=-180&type=json&featureClass=P&name=%D0%BA%D0%B8%D0%B5%D0%B2%D1%81%D0%BA&east=180&south=-90&username=jaguillette,geonames
