,uniq_id,ru_old_orth,alt_name,partof_id,x_coord,y_coord,ru_featuretype,SOURCE,description,ru_new_orth,lc_trans,pres_loc,country,country_code
106,108,Полотавский,,8.0,34.540729999999996,49.59373,уезд,,,Полотавский,Polotavskii,"Poltava, Poltavs'ka oblast",Ukraine,UA
107,109,Полотский,,24.0,28.7856,55.4879,уезд,,,Полотский,Polotskii,"Polatsk, Vitebsk Region",Belarus,BY
108,110,Пошехонский,,39.0,39.13531,58.499280000000006,уезд,,,Пошехонский,Poshekhonskii,"Poshekhonye, Yaroslavl Oblast",Russia,RU
109,111,Прилуцкий,,38.0,32.387609999999995,50.59323,уезд,,,Прилуцкий,Prilutskii,"Pryluky, Chernihivs'ka oblast",Ukraine,UA
110,112,Псковский,,25.0,28.3496,57.8136,уезд,,,Псковский,Pskovskii,"Pskov, Pskov Oblast",Russia,RU
111,113,Рогачевский,,16.0,30.0495,53.0934,уезд,,,Рогачевский,Rogachevskii,"Rahačoŭ, Homiel Province",Belarus,BY
112,114,Ростовский,,39.0,39.413940000000004,57.1914,уезд,,,Ростовский,Rostovskii,"Rostov, Yaroslavl Oblast",Russia,RU
113,115,Рузский,,1.0,36.19522,55.698980000000006,уезд,,,Рузский,Ruzskii,"Ruza, Moscow Oblast",Russia,RU
114,116,Рязанский,,28.0,44.7329,53.1783,уезд,,,Рязанский,Riazanskii,"Penzenskiy rayon, Penza Oblast",Russia,RU
115,117,Саранский,,22.0,45.1749,54.1838,уезд,,,Саранский,Saranskii,"Saransk, Mordovia",Russia,RU
116,118,Саратовский,,29.0,46.00861,51.54056,уезд,,,Саратовский,Saratovskii,"Saratov, Saratov Oblast",Russia,RU
117,119,Свіажский,,11.0,48.660509999999995,55.77329,уезд,,,Свиажский,Svіazhskii,"Sviyazhsk, Tatarstan",Russia,RU
118,120,Синбирский,,30.0,48.38657,54.32824,уезд,,,Синбирский,Sinbirskii,"Ulyanovsk, Ulyanovsk Oblast",Russia,RU
119,121,Сосницкий,,19.0,32.49985,51.52387,уезд,,,Сосницкий,Sosnitskii,"Sosnytsya, Chernihivs'ka oblast",Ukraine,UA
120,122,Старобыховский,,16.0,30.2454,53.521,уезд,,,Старобыховский,Starobykhovskii,"Bykhaw, Mogilev Province",Belarus,BY
121,123,Стародубовский,,19.0,33.67942,52.2405,уезд,,,Стародубовский,Starodubovskii,"Seredyno-Buds'kyi district, Sums'ka oblast",Ukraine,UA
122,124,Суздальский,,3.0,40.44668,56.422740000000005,уезд,,,Суздальский,Suzdal'skii,"Suzdal, Vladimir Oblast",Russia,RU
123,125,Тверский,,33.0,35.90057,56.85836,уезд,,,Тверский,Tverskii,"Tver, Tver Oblast",Russia,RU
124,126,Темниковский,,32.0,43.21483,54.630230000000005,уезд,,,Темниковский,Temnikovskii,"Temnikov, Mordovia",Russia,RU
125,127,Тульский,,35.0,37.616667,54.2,уезд,,,Тульский,Tul'skii,"Tula, Tula Oblast",Russia,RU
126,128,Харьковский,,37.0,36.252720000000004,49.98081,уезд,,,Харьковский,Khar'kovskii,"Kharkiv, Kharkiv Oblast",Ukraine,UA
127,129,Челябинский,,36.0,61.42915,55.154019999999996,уезд,,,Челябинский,Cheliabinskii,"Chelyabinsk, Chelyabinsk Oblast",Russia,RU
128,130,Чериковский,,16.0,31.3831,53.5689,уезд,,,Чериковский,Cherikovskii,"Čerykaŭ, Mogilev Province",Belarus,BY
129,131,Черниговский,,38.0,31.284879999999998,51.50551,уезд,,,Черниговский,Chernigovskii,"Chernihiv, Chernihivs'ka oblast",Ukraine,UA
130,132,Чухломский,,14.0,42.68318,58.75375,уезд,,,Чухломский,Chukhlomskii,"Chukhloma, Kostroma Oblast",Russia,RU
131,133,Шатский,,32.0,41.711909999999996,54.02576,уезд,,,Шатский,Shatskii,"Shatsk, Ryazan Oblast",Russia,RU
132,134,Юрьевцкий,,14.0,43.1041,57.320069999999994,уезд,,,Юрьевцкий,Iur'evtskii,"Yuryevets, Ivanovo Oblast",Russia,RU
133,135,Яренский,,4.0,49.09162,62.16755,уезд,,,Яренский,Iarenskii,"Lenskiy rayon, Arkhangelsk Oblast",Russia,RU
134,136,Ярославский,,39.0,39.87368,57.62987,уезд,,,Ярославский,Iaroslavskii,"Yaroslavl, Yaroslavl Oblast",Russia,RU
