,uy_id,result_placename,searched_placename,admin1,country_name,lat,lng,src_id,country_code,url,src,namiest,uezd,partof_id
52,193,V’yushino,в,Vologda,Russia,60.4086,38.1454,8245510,RU,http://api.geonames.org/search?type=json&south=57.25&username=jaguillette&featureClass=P&east=57.25&name=%D0%B2&north=64.08&west=37.83,geonames,вологодск,в,4
53,196,not_found,пошехонском ,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=53.616667&username=jaguillette&featureClass=P&east=43.85&name=%D0%BF%D0%BE%D1%88%D0%B5%D1%85%D0%BE%D0%BD%D1%81%D0%BA%D0%BE%D0%BC+&north=61.616667&west=35.85,geonames,ярославск,пошехонском ,39
54,197,not_found,курмышск,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=50.316667&username=jaguillette&featureClass=P&east=52.366667&name=%D0%BA%D1%83%D1%80%D0%BC%D1%8B%D1%88%D1%81%D0%BA&north=58.316667&west=44.366667,geonames,синбирск,курмышск,30
55,197,Kurmysh,курмыш,Nizjnij Novgorod,Russia,55.83336,46.07337,538665,RU,http://api.geonames.org/search?type=json&south=50.316667&username=jaguillette&featureClass=P&east=52.366667&name=%D0%BA%D1%83%D1%80%D0%BC%D1%8B%D1%88&north=58.316667&west=44.366667,geonames,синбирск,курмышск,30
56,197,Kurmysh,курмыш,Tatarstan,Russia,54.43403,50.77101,538666,RU,http://api.geonames.org/search?type=json&south=50.316667&username=jaguillette&featureClass=P&east=52.366667&name=%D0%BA%D1%83%D1%80%D0%BC%D1%8B%D1%88&north=58.316667&west=44.366667,geonames,синбирск,курмышск,30
57,197,Kurmyshi,курмыш,Chuvashia,Russia,55.98805,47.0592,538664,RU,http://api.geonames.org/search?type=json&south=50.316667&username=jaguillette&featureClass=P&east=52.366667&name=%D0%BA%D1%83%D1%80%D0%BC%D1%8B%D1%88&north=58.316667&west=44.366667,geonames,синбирск,курмышск,30
58,197,Verkhniy Kurmysh,курмыш,Saratov,Russia,51.1,48.76667,474938,RU,http://api.geonames.org/search?type=json&south=50.316667&username=jaguillette&featureClass=P&east=52.366667&name=%D0%BA%D1%83%D1%80%D0%BC%D1%8B%D1%88&north=58.316667&west=44.366667,geonames,синбирск,курмышск,30
59,199,not_found,роченск,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=48.4869&username=jaguillette&featureClass=P&east=38.2875&name=%D1%80%D0%BE%D1%87%D0%B5%D0%BD%D1%81%D0%BA&north=51.5689&west=33.5563,geonames,харьковск,роченск,37
60,199,not_found,рочен,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=48.4869&username=jaguillette&featureClass=P&east=38.2875&name=%D1%80%D0%BE%D1%87%D0%B5%D0%BD&north=51.5689&west=33.5563,geonames,харьковск,роченск,37
61,200,not_found,сумск,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=48.4869&username=jaguillette&featureClass=P&east=38.2875&name=%D1%81%D1%83%D0%BC%D1%81%D0%BA&north=51.5689&west=33.5563,geonames,харьковск,сумск,37
62,200,Sum’skoy,сум,Belgorod,Russia,50.62429,36.37693,808092,RU,http://api.geonames.org/search?type=json&south=48.4869&username=jaguillette&featureClass=P&east=38.2875&name=%D1%81%D1%83%D0%BC&north=51.5689&west=33.5563,geonames,харьковск,сумск,37
63,202,not_found,ваг,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=38.6&username=jaguillette&featureClass=P&east=180&name=%D0%B2%D0%B0%D0%B3&north=78.0&west=24.8,geonames,нот_ин_теxт,ваг,0
64,204,not_found,зубцовск,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=52.857828&username=jaguillette&featureClass=P&east=39.921928&name=%D0%B7%D1%83%D0%B1%D1%86%D0%BE%D0%B2%D1%81%D0%BA&north=60.857828&west=31.921928,geonames,тверск,зубцовск,33
65,204,Zubtsov,зубцов,Tverskaya,Russia,56.17533,34.58935,462008,RU,http://api.geonames.org/search?type=json&south=52.857828&username=jaguillette&featureClass=P&east=39.921928&name=%D0%B7%D1%83%D0%B1%D1%86%D0%BE%D0%B2&north=60.857828&west=31.921928,geonames,тверск,зубцовск,33
66,205,not_found,рачевск,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=51.8511&username=jaguillette&featureClass=P&east=39.224&name=%D1%80%D0%B0%D1%87%D0%B5%D0%B2%D1%81%D0%BA&north=54.0138&west=32.7557,geonames,орловск,рачевск,21
67,205,not_found,рачев,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=51.8511&username=jaguillette&featureClass=P&east=39.224&name=%D1%80%D0%B0%D1%87%D0%B5%D0%B2&north=54.0138&west=32.7557,geonames,орловск,рачевск,21
68,207,not_found,луховск,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=53.766667&username=jaguillette&featureClass=P&east=44.933333&name=%D0%BB%D1%83%D1%85%D0%BE%D0%B2%D1%81%D0%BA&north=61.766667&west=36.933333,geonames,кострома,луховск,14
69,207,not_found,лухов,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=53.766667&username=jaguillette&featureClass=P&east=44.933333&name=%D0%BB%D1%83%D1%85%D0%BE%D0%B2&north=61.766667&west=36.933333,geonames,кострома,луховск,14
70,208,Karpov,карпов,Tambov,Russia,51.83082,41.89157,552251,RU,http://api.geonames.org/search?type=json&south=38.6&username=jaguillette&featureClass=P&east=180&name=%D0%BA%D0%B0%D1%80%D0%BF%D0%BE%D0%B2&north=78.0&west=24.8,geonames,нот_ин_теxт,карпов,0
71,208,Karpov,карпов,Volgograd,Russia,49.68333,46.18333,552252,RU,http://api.geonames.org/search?type=json&south=38.6&username=jaguillette&featureClass=P&east=180&name=%D0%BA%D0%B0%D1%80%D0%BF%D0%BE%D0%B2&north=78.0&west=24.8,geonames,нот_ин_теxт,карпов,0
72,208,Karpov,карпов,Rostov,Russia,47.60262,41.87877,552254,RU,http://api.geonames.org/search?type=json&south=38.6&username=jaguillette&featureClass=P&east=180&name=%D0%BA%D0%B0%D1%80%D0%BF%D0%BE%D0%B2&north=78.0&west=24.8,geonames,нот_ин_теxт,карпов,0
73,208,Karpov,карпов,Chelyabinsk,Russia,54.4,61.3,1504340,RU,http://api.geonames.org/search?type=json&south=38.6&username=jaguillette&featureClass=P&east=180&name=%D0%BA%D0%B0%D1%80%D0%BF%D0%BE%D0%B2&north=78.0&west=24.8,geonames,нот_ин_теxт,карпов,0
74,208,Karpov,карпов,Brjansk,Russia,53.04028,35.0075,819995,RU,http://api.geonames.org/search?type=json&south=38.6&username=jaguillette&featureClass=P&east=180&name=%D0%BA%D0%B0%D1%80%D0%BF%D0%BE%D0%B2&north=78.0&west=24.8,geonames,нот_ин_теxт,карпов,0
75,208,Karpov,карпов,Astrakhan,Russia,48.11694,45.66139,552253,RU,http://api.geonames.org/search?type=json&south=38.6&username=jaguillette&featureClass=P&east=180&name=%D0%BA%D0%B0%D1%80%D0%BF%D0%BE%D0%B2&north=78.0&west=24.8,geonames,нот_ин_теxт,карпов,0
76,208,Karpov,карпов,,Kazakhstan,50.81667,50.56667,609514,KZ,http://api.geonames.org/search?type=json&south=38.6&username=jaguillette&featureClass=P&east=180&name=%D0%BA%D0%B0%D1%80%D0%BF%D0%BE%D0%B2&north=78.0&west=24.8,geonames,нот_ин_теxт,карпов,0
77,208,Karpov,карпов,,Kazakhstan,50.61667,50.7,609515,KZ,http://api.geonames.org/search?type=json&south=38.6&username=jaguillette&featureClass=P&east=180&name=%D0%BA%D0%B0%D1%80%D0%BF%D0%BE%D0%B2&north=78.0&west=24.8,geonames,нот_ин_теxт,карпов,0
78,208,Karpov,карпов,,Kazakhstan,50.31667,49.18333,609516,KZ,http://api.geonames.org/search?type=json&south=38.6&username=jaguillette&featureClass=P&east=180&name=%D0%BA%D0%B0%D1%80%D0%BF%D0%BE%D0%B2&north=78.0&west=24.8,geonames,нот_ин_теxт,карпов,0
79,208,Karpov,карпов,,Kazakhstan,50.28333,50.25,609517,KZ,http://api.geonames.org/search?type=json&south=38.6&username=jaguillette&featureClass=P&east=180&name=%D0%BA%D0%B0%D1%80%D0%BF%D0%BE%D0%B2&north=78.0&west=24.8,geonames,нот_ин_теxт,карпов,0
80,208,Karpovo,карпов,,Kazakhstan,51.46667,50.56667,609513,KZ,http://api.geonames.org/search?type=json&south=38.6&username=jaguillette&featureClass=P&east=180&name=%D0%BA%D0%B0%D1%80%D0%BF%D0%BE%D0%B2&north=78.0&west=24.8,geonames,нот_ин_теxт,карпов,0
81,208,Karpovka,карпов,Rostov,Russia,49.15642,40.0481,552242,RU,http://api.geonames.org/search?type=json&south=38.6&username=jaguillette&featureClass=P&east=180&name=%D0%BA%D0%B0%D1%80%D0%BF%D0%BE%D0%B2&north=78.0&west=24.8,geonames,нот_ин_теxт,карпов,0
82,209,not_found,царевосанчурск,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=54.6&username=jaguillette&featureClass=P&east=53.65&name=%D1%86%D0%B0%D1%80%D0%B5%D0%B2%D0%BE%D1%81%D0%B0%D0%BD%D1%87%D1%83%D1%80%D1%81%D0%BA&north=62.6&west=45.65,geonames,вятск,царевосанчурск,7
83,209,not_found,царевосанчур,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=54.6&username=jaguillette&featureClass=P&east=53.65&name=%D1%86%D0%B0%D1%80%D0%B5%D0%B2%D0%BE%D1%81%D0%B0%D0%BD%D1%87%D1%83%D1%80&north=62.6&west=45.65,geonames,вятск,царевосанчурск,7
84,212,not_found,володимерск,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=52.133333&username=jaguillette&featureClass=P&east=44.416667&name=%D0%B2%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B5%D1%80%D1%81%D0%BA&north=60.133333&west=36.416667,geonames,владимерск,володимерск,3
85,212,not_found,володимер,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=52.133333&username=jaguillette&featureClass=P&east=44.416667&name=%D0%B2%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B5%D1%80&north=60.133333&west=36.416667,geonames,владимерск,володимерск,3
86,213,not_found,донков,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=53.0517&username=jaguillette&featureClass=P&east=41.6952&name=%D0%B4%D0%BE%D0%BD%D0%BA%D0%BE%D0%B2&north=55.9254&west=38.154,geonames,рязанск,донков,28
87,214,not_found,опочек,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=38.6&username=jaguillette&featureClass=P&east=180&name=%D0%BE%D0%BF%D0%BE%D1%87%D0%B5%D0%BA&north=78.0&west=24.8,geonames,нот_ин_теxт,опочек,0
88,215,Nerchinsk,нерчинск,Zabaykalsky,Russia,51.98333,116.58333,2019326,RU,http://api.geonames.org/search?type=json&south=46.5&username=jaguillette&featureClass=P&east=180&name=%D0%BD%D0%B5%D1%80%D1%87%D0%B8%D0%BD%D1%81%D0%BA&north=90&west=91.4,geonames,иркутск,нерчинск,9
89,215,Nerchinskiy Zavod,нерчинск,Zabaykalsky,Russia,51.30829,119.61597,2019323,RU,http://api.geonames.org/search?type=json&south=46.5&username=jaguillette&featureClass=P&east=180&name=%D0%BD%D0%B5%D1%80%D1%87%D0%B8%D0%BD%D1%81%D0%BA&north=90&west=91.4,geonames,иркутск,нерчинск,9
