name,lng,lat,beg,end,text
Зубцов,34.58935,56.17534,1788-07-31,1788-07-31,Июля 20
Зубцов,34.58935,56.17534,1788-08-17,1788-08-17,Августа 6
Зубцов,34.58935,56.17534,1788-08-26,1788-08-26,Августа 15
Зубцов,34.58935,56.17534,1788-05-20,1788-05-20,Мая 9
Зубцов,34.58935,56.17534,1788-01-18,1788-01-18,Генваря 7
Зубцов,34.58935,56.17534,1788-07-04,1788-07-04,десятую пятницу
Зубцов,34.58935,56.17534,1788-03-03,1788-03-09,Сырной неделе
Рыльск,34.6822,51.5655,1788-07-19,1788-07-19,Июля 8
Рыльск,34.6822,51.5655,1788-07-04,1788-07-04,десятую пятницу
Жиздра,34.73951,53.74596,1788-10-06,1788-10-06,25 Сентября
Котельва,34.75862,50.06864,1788-01-12,1788-01-12,Генваря 1
Котельва,34.75862,50.06864,1788-04-05,1788-04-05,Марта 25
Котельва,34.75862,50.06864,1788-09-19,1788-09-19,Сентября 8
Котельва,34.75862,50.06864,1788-06-22,1788-06-22,Тройцын
Ружное,34.76467,52.962,1788-05-13,1788-05-13,Мая 2
Сумы,34.80029,50.9216,1788-12-02,1788-12-02,21 Ноября
Сумы,34.80029,50.9216,1788-12-17,1788-12-17,Декабря по 6
Сумы,34.80029,50.9216,1788-08-26,1788-08-26,успения
Сумы,34.80029,50.9216,1788-06-15,1788-06-21,Троицкой неделе
Ахтырка,34.89879,50.31036,1788-05-20,1788-05-20,Мая 9
Ахтырка,34.89879,50.31036,1788-11-08,1788-11-08,Октября 28
Ахтырка,34.89879,50.31036,1788-02-17,1788-02-23,всеедной неделе
Старица,34.93544,56.50752,1788-06-27,1788-06-27,девятой неделе по Пасхе в пяток
Старица,34.93544,56.50752,1788-07-30,1788-07-30,перед Ильиным днем
Мосальск,34.98167,54.48806,1788-05-04,1788-05-04,Апреля 23
Мосальск,34.98167,54.48806,1788-07-19,1788-07-19,Июля 8
Мосальск,34.98167,54.48806,1788-12-07,1788-12-07,Ноября 26
Серпейск,34.98889,54.33583,1788-07-04,1788-07-04,десятую пятницу
Гжать,34.99537,55.55291,1788-07-19,1788-07-19,Июля 8
Краснокутск,35.16275,50.06602,1788-05-04,1788-05-04,Апреля 23
Краснокутск,35.16275,50.06602,1788-07-10,1788-07-10,Июня 29
Краснокутск,35.16275,50.06602,1788-12-02,1788-12-02,Ноября 21
Краснокутск,35.16275,50.06602,1788-03-24,1788-03-30,Крестопоклонной неделе
Сенкова,35.1886,49.88974,1788-05-20,1788-05-20,Мая 9
Сенкова,35.1886,49.88974,1788-09-09,1788-09-09,Августа 29
Сенкова,35.1886,49.88974,1788-12-17,1788-12-17,Николая
Краснополье,35.25965,50.77458,1788-05-20,1788-05-20,Мая 9
Краснополье,35.25965,50.77458,1788-08-17,1788-08-17,Августа 6
Краснополье,35.25965,50.77458,1788-11-19,1788-11-19,Ноября 8
Мирополье,35.26233,51.023,1788-09-12,1788-09-12,Сентября 1
Мирополье,35.26233,51.023,1788-04-07,1788-04-13,пятой неделе
Мирополье,35.26233,51.023,1788-06-15,1788-06-21,седьмой неделе по Пасхе
Суджа,35.2726,51.1976,1788-05-04,1788-05-04,Апреля 23
Суджа,35.2726,51.1976,1788-07-10,1788-07-10,Июня 29
Суджа,35.2726,51.1976,1788-10-12,1788-10-12,Октября 1
Суджа,35.2726,51.1976,1788-02-17,1788-02-23,всеедной неделе
Льгов,35.2775,51.63069,1788-07-05,1788-07-05,24 Июня
Льгов,35.2775,51.63069,1788-09-12,1788-09-12,Сентября 1
Мещовск,35.28083,54.32444,1788-08-09,1788-08-09,Июля 29
Ивановка,35.33333,49.86667,1788-01-12,1788-01-12,Генваря 1
Ивановка,35.33333,49.86667,1788-05-03,1788-05-03,Апреля 22
Ивановка,35.33333,49.86667,1788-08-12,1788-08-12,Августа 1
Ивановка,35.33333,49.86667,1788-09-12,1788-09-12,Сентября 1
Ивановка,35.33333,49.86667,1788-11-09,1788-11-09,Октября 29
Муриково,35.37,55.99461,1788-10-06,1788-10-06,Сентября 25
Ховань,35.50309,55.99746,1788-07-12,1788-08-11,Июле
Богодухов,35.52765,50.16466,1788-07-31,1788-07-31,Июля 20
Богодухов,35.52765,50.16466,1788-09-09,1788-09-09,Августа 29
Богодухов,35.52765,50.16466,1788-11-19,1788-11-19,Ноября 8
Богодухов,35.52765,50.16466,1788-04-07,1788-04-13,похвальной неделе
Богодухов,35.52765,50.16466,1788-06-05,1788-06-05,Вознесение
Богодухов,35.52765,50.16466,1788-03-03,1788-03-09,Сырной неделе
Валки,35.61223,49.83597,1788-02-13,1788-02-13,Февраля 2
Валки,35.61223,49.83597,1788-05-20,1788-05-20,Мая 9
Валки,35.61223,49.83597,1788-08-07,1788-08-07,Июля 27
Валки,35.61223,49.83597,1788-09-25,1788-09-25,Сентября 14
Валки,35.61223,49.83597,1788-12-17,1788-12-17,Декабря 6
Белая Колпь,35.66459,56.09183,1788-08-30,1788-08-30,Августа 19
Козельск,35.77159,54.03746,1788-07-04,1788-07-04,десятую пятницу
Медынь,35.85861,54.96917,1788-07-19,1788-07-19,Июля 8
Михайловка,35.96695,49.22603,1788-02-13,1788-02-13,Февраля 2
